"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2007-Q3",1.173831453,
"KOR","QGDP","TOT","PC_CHGPP","Q","2007-Q4",2.156948555,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.402394858,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q2",0.523473003,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q3",0.815881043,
"KOR","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-3.283889347,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q1",0.089986722,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q2",1.332777638,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q3",2.992674785,
"KOR","QGDP","TOT","PC_CHGPP","Q","2009-Q4",0.746867545,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q1",1.959076739,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q2",1.899801372,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q3",1.15521508,
"KOR","QGDP","TOT","PC_CHGPP","Q","2010-Q4",1.219318711,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.933130719,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.490791061,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.526323638,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.472298068,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.865665953,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q2",0.565974618,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.45177694,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q4",0.502248725,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.859424906,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q2",1.166152951,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.856151759,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.874915753,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.85644443,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.87160402,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.319454245,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.495085269,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.761630954,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.486137139,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q3",1.46130046,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.690195609,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.272629303,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q2",1.232503808,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.408153887,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.5997012,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.977751925,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.759515901,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",1.394926941,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q4",-0.323549159,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.253680524,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.688244533,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.616673977,
